date,value
2023-10-20,1110.59
2023-10-23,935.45
2023-10-24,887.88
2023-10-25,888.91
2023-10-26,872.78
2023-10-27,859.73
2023-10-30,853.07
2023-10-31,864.84
2023-11-01,883.05
2023-11-02,883.21
2023-11-03,868.08
2023-11-06,868.08
2023-11-07,857.74
2023-11-08,823.26
2023-11-09,871.33
2023-11-10,877.02
2023-11-13,878.29
2023-11-14,875.28
2023-11-15,875.19
2023-11-16,870.26
2023-11-17,876.96
2023-11-20,876.27
2023-11-21,881.85
2023-11-22,947.16
2023-11-23,962.0
2023-11-24,925.18
2023-11-27,858.28
2023-11-28,848.9
2023-11-29,820.27
2023-11-30,836.84
2023-12-01,904.36
2023-12-04,890.78
2023-12-05,909.52
2023-12-06,937.44
2023-12-07,991.83
2023-12-08,991.66
2023-12-11,1000.55
2023-12-12,1032.95
2023-12-13,1008.09
2023-12-14,1016.71
2023-12-15,997.17
2023-12-18,946.65
2023-12-19,951.01
2023-12-20,945.11
2023-12-21,944.88
2023-12-22,941.72
2023-12-25,941.96
2023-12-26,901.25
2023-12-27,870.97
2023-12-28,945.02
2023-12-29,973.31
2024-01-01,973.15
2024-01-02,997.45
2024-01-03,1049.17
2024-01-04,1088.99
2024-01-05,1140.53
2024-01-08,1200.75
2024-01-09,1193.3
2024-01-10,1183.02
2024-01-11,1147.42
2024-01-12,1136.0
2024-01-15,1164.6
2024-01-16,1214.66
2024-01-17,1273.87
2024-01-18,1281.2
2024-01-19,1306.38
2024-01-22,1310.4
2024-01-23,1284.32
2024-01-24,1303.82
2024-01-25,1283.25
2024-01-26,1231.3
2024-01-29,1264.24
2024-01-30,1270.0
2024-01-31,1251.26
2024-02-01,1282.31
2024-02-02,1284.97
2024-02-05,1293.53
2024-02-06,1252.55
2024-02-07,1262.93
2024-02-08,1248.66
2024-02-09,1230.05
2024-02-12,1229.01
2024-02-13,1229.01
2024-02-14,1176.43
2024-02-15,1153.28
2024-02-16,1115.43
2024-02-19,1143.92
2024-02-20,1131.28
2024-02-21,1115.22
2024-02-22,1094.67
2024-02-23,1111.53
2024-02-26,1096.27
2024-02-27,1088.52
2024-02-28,1073.35
2024-02-29,1071.46
2024-03-01,1089.77
2024-03-04,1064.1
2024-03-05,1042.13
2024-03-06,1022.59
2024-03-07,1030.4
2024-03-08,1047.74
2024-03-11,1021.92
2024-03-12,1067.23
2024-03-13,1053.33
2024-03-14,1060.28
2024-03-15,1067.88
2024-03-18,1080.9
2024-03-19,1083.87
2024-03-20,1098.0
2024-03-21,1099.56
2024-03-22,1096.17
2024-03-25,1079.28
2024-03-26,1101.44
2024-03-27,1085.25
2024-03-28,1085.7
2024-03-29,1085.7
2024-04-01,1085.7
2024-04-02,1085.7
2024-04-03,1069.44
2024-04-04,1057.22
2024-04-05,1048.61
2024-04-08,1034.15
2024-04-09,1046.46
2024-04-10,1045.66
2024-04-11,1049.08
2024-04-12,1047.54
2024-04-15,1074.13
2024-04-16,1075.81
2024-04-17,1062.61
2024-04-18,1066.1
2024-04-19,1068.98
2024-04-22,1058.29
2024-04-23,1051.95
2024-04-24,1054.07
2024-04-25,1080.88
2024-04-26,1085.25
2024-04-29,1090.65
2024-04-30,1092.13
2024-05-01,1091.95
2024-05-02,1120.29
2024-05-03,1121.12
2024-05-06,1108.31
2024-05-07,1094.7
2024-05-08,1076.02
2024-05-09,1083.51
2024-05-10,1078.58
2024-05-13,1075.65
2024-05-14,1084.68
2024-05-15,1092.37
2024-05-16,1099.3
2024-05-17,1103.69
2024-05-20,1142.54
2024-05-21,1195.46
2024-05-22,1256.39
2024-05-23,1256.04
2024-05-24,1234.96
2024-05-27,1244.56
2024-05-28,1233.75
2024-05-29,1214.74
2024-05-30,1213.28
2024-05-31,1246.82
2024-06-03,1297.47
2024-06-04,1311.29
2024-06-05,1304.57
2024-06-06,1297.19
2024-06-07,1312.5
2024-06-10,1306.41
2024-06-11,1305.54
2024-06-12,1301.89
2024-06-13,1274.21
2024-06-14,1267.49
2024-06-17,1267.39
2024-06-18,1264.17
2024-06-19,1291.63
2024-06-20,1291.63
2024-06-21,1291.63
2024-06-24,1313.69
2024-06-25,1312.66
2024-06-26,1341.13
2024-06-27,1345.7
2024-06-28,1350.18
2024-07-01,1412.48
2024-07-02,1428.72
2024-07-03,1394.29
2024-07-04,1398.43
2024-07-05,1392.38
2024-07-08,1386.59
2024-07-09,1386.59
2024-07-10,1390.55
2024-07-11,1414.42
2024-07-12,1427.9
2024-07-15,1307.18
2024-07-16,1285.99
2024-07-17,1308.83
2024-07-18,1332.64
2024-07-19,1328.48
2024-07-22,1329.81
2024-07-23,1337.16
2024-07-24,1335.69
2024-07-25,1329.53
2024-07-26,1317.85
2024-07-29,1294.23
2024-07-30,1265.05
2024-07-31,1285.41
2024-08-01,1302.24
2024-08-02,1321.96
2024-08-05,1337.52
2024-08-06,1341.12
2024-08-07,1327.03
2024-08-08,1311.1
2024-08-09,1297.87
2024-08-12,1281.35
2024-08-13,1266.98
2024-08-14,1269.33
2024-08-15,1275.84
2024-08-16,1292.11
2024-08-19,1286.6
2024-08-20,1290.0
2024-08-21,1286.66
2024-08-22,1285.52
2024-08-23,1286.0
2024-08-26,1289.7
2024-08-27,1293.53
2024-08-28,1291.78
2024-08-29,1289.04
2024-08-30,1298.37
2024-09-02,1295.36
2024-09-03,1302.55
2024-09-04,1293.94
2024-09-05,1271.6
2024-09-06,1257.91
2024-09-09,1245.65
2024-09-10,1249.13
2024-09-11,1245.78
2024-09-12,1259.83
2024-09-13,1253.33
2024-09-16,1240.97
2024-09-17,1241.3
2024-09-18,1233.11
2024-09-19,1217.96
2024-09-20,1219.98
2024-09-23,1227.16
2024-09-24,1223.02
2024-09-25,1228.48
2024-09-26,1227.58
2024-09-27,1232.76
2024-09-30,1243.91
2024-10-01,1245.99
2024-10-02,1234.15
2024-10-03,1232.44
2024-10-04,1225.94
2024-10-07,1217.21
2024-10-08,1210.96
2024-10-09,1191.42
2024-10-10,1177.07
2024-10-11,1176.9
2024-10-14,1181.42
2024-10-15,1179.48
2024-10-16,1190.81
2024-10-17,1192.86
2024-10-18,1194.62
2024-10-21,1194.93
2024-10-22,1194.93
2024-10-23,1183.91
2024-10-24,1179.6
2024-10-25,1163.53
2024-10-28,1154.77
2024-10-29,1154.9
2024-10-30,1158.6
2024-10-31,1158.12
2024-11-01,1177.29
2024-11-04,1178.76
2024-11-05,1181.83
2024-11-06,1168.59
2024-11-07,1164.25
2024-11-08,1158.29
2024-11-11,1163.39
2024-11-12,1163.39
2024-11-13,1155.92
2024-11-14,1157.72
2024-11-15,1136.64
2024-11-18,1134.15
2024-11-19,1106.27
2024-11-20,1111.38
2024-11-21,1111.24
2024-11-22,1106.07
2024-11-25,1110.11
2024-11-26,1107.58
2024-11-27,1104.91
2024-11-28,1107.79
2024-11-29,1109.33
2024-12-02,1097.69
2024-12-03,1105.92
2024-12-04,1102.79
2024-12-05,1086.87
2024-12-06,1074.2
2024-12-09,1071.43
2024-12-10,1076.4
2024-12-11,1071.43
2024-12-12,1066.95
2024-12-13,1092.37
2024-12-16,1122.06
2024-12-17,1150.78
2024-12-18,1161.64
2024-12-19,1157.59
2024-12-20,1164.65
2024-12-23,1166.99
2024-12-24,1174.55
2024-12-25,1173.62
2024-12-26,1187.62
2024-12-27,1180.3
2024-12-30,1184.16
2024-12-31,1186.93
2025-01-01,1186.93
2025-01-02,1174.59
2025-01-03,1186.04
2025-01-06,1187.05
2025-01-07,1186.07
2025-01-08,1184.88
2025-01-09,1184.98
2025-01-10,1188.33
2025-01-13,1196.75
2025-01-14,1191.05
2025-01-15,1194.14
2025-01-16,1180.53
2025-01-17,1187.63
2025-01-20,1195.98
2025-01-21,1189.33
2025-01-22,1187.49
2025-01-23,1187.0
2025-01-24,1164.77
2025-01-27,1176.15
2025-01-28,1175.5
2025-01-29,1181.87
2025-01-30,1180.7
2025-01-31,1185.97
2025-02-03,1195.55
2025-02-04,1199.7
2025-02-05,1200.48
2025-02-06,1201.96
2025-02-07,1203.17
2025-02-10,1190.38
2025-02-11,1189.68
2025-02-12,1185.19
2025-02-13,1191.08
2025-02-14,1197.21
2025-02-17,1210.61
2025-02-18,1215.71
2025-02-19,1207.55
2025-02-20,1214.76
2025-02-21,1218.15
2025-02-24,1213.16
2025-02-25,1208.21
2025-02-26,1219.99
2025-02-27,1224.07
2025-02-28,1219.98
2025-03-03,1219.98
2025-03-04,1219.98
2025-03-05,1241.44
2025-03-06,1227.65
2025-03-07,1219.73
2025-03-10,1231.63
2025-03-11,1226.42
2025-03-12,1229.63
2025-03-13,1233.48
2025-03-14,1239.88
2025-03-17,1254.99
2025-03-18,1299.01
2025-03-19,1291.86
2025-03-20,1283.89
2025-03-21,1286.95
2025-03-24,1286.95
2025-03-25,1297.05
2025-03-26,1299.63
2025-03-27,1298.77
2025-03-28,1309.15
2025-03-31,1319.46
2025-04-01,1307.92
2025-04-02,1307.92
2025-04-03,1320.37
2025-04-04,1337.05
2025-04-07,1360.25
2025-04-08,1368.39
2025-04-09,1342.03
2025-04-10,1367.3
2025-04-11,1340.47
2025-04-14,1256.04
2025-04-15,1242.0
2025-04-16,1177.11
2025-04-17,1177.11
2025-04-18,1177.11
2025-04-21,1132.46
2025-04-22,1153.59
2025-04-23,1181.79
2025-04-24,1199.67
2025-04-25,1201.15
2025-04-28,1190.97
2025-04-29,1188.67
2025-04-30,1195.73
2025-05-01,1195.73
2025-05-02,1195.73
2025-05-05,1211.65
2025-05-06,1211.31
2025-05-07,1165.4
2025-05-08,1157.44
2025-05-09,1159.25
2025-05-12,1155.98
2025-05-13,1158.28
2025-05-14,1158.28
2025-05-15,1166.04
2025-05-16,1178.82
2025-05-19,1162.59
2025-05-20,1171.71
2025-05-21,1162.14
2025-05-22,1163.2
2025-05-23,1165.18
2025-05-26,1151.25
2025-05-27,1171.98
2025-05-28,1175.33
2025-05-29,1194.22
2025-05-30,1204.92
2025-06-02,1196.18
2025-06-03,1199.76
2025-06-04,1201.49
2025-06-05,1193.41
2025-06-06,1194.81
2025-06-09,1198.27
2025-06-10,1193.85
2025-06-11,1193.28
2025-06-12,1187.02
2025-06-13,1200.37
2025-06-16,1205.65
2025-06-17,1204.75
2025-06-18,1172.16
2025-06-19,1157.71
2025-06-20,1157.71
2025-06-23,1182.97
2025-06-24,1183.95
2025-06-25,1199.2
2025-06-26,1200.16
2025-06-27,1203.26
2025-06-30,1210.25
2025-07-01,1233.08
